Run,Time_ASM,Time_C
1,0.268000,9.868000
2,0.247000,9.865000
3,0.246000,9.855000
4,0.246000,9.918000
5,0.247000,9.897000
6,0.246000,9.857000
7,0.246000,9.883000
8,0.247000,9.858000
9,0.247000,10.025000
10,0.254000,9.897000
11,0.246000,9.893000
12,0.245000,9.895000
13,0.245000,9.902000
14,0.247000,9.887000
15,0.251000,9.886000
16,0.249000,9.898000
17,0.249000,9.879000
18,0.246000,9.890000
19,0.245000,9.898000
20,0.245000,9.915000
21,0.247000,9.879000
22,0.248000,9.929000
23,0.246000,9.878000
24,0.248000,9.978000
25,0.255000,10.074000
26,0.257000,10.030000
27,0.256000,10.036000
28,0.249000,10.093000
29,0.255000,10.084000
30,0.248000,9.968000
