Run,Time_ASM,Time_C
1,0.003000,0.100000
2,0.003000,0.099000
3,0.003000,0.099000
4,0.002000,0.100000
5,0.002000,0.099000
6,0.003000,0.100000
7,0.002000,0.101000
8,0.003000,0.102000
9,0.002000,0.102000
10,0.003000,0.100000
11,0.002000,0.102000
12,0.002000,0.101000
13,0.002000,0.100000
14,0.003000,0.100000
15,0.002000,0.100000
16,0.003000,0.100000
17,0.003000,0.100000
18,0.003000,0.101000
19,0.003000,0.100000
20,0.003000,0.101000
21,0.003000,0.101000
22,0.002000,0.102000
23,0.003000,0.099000
24,0.003000,0.099000
25,0.003000,0.100000
26,0.002000,0.100000
27,0.003000,0.101000
28,0.003000,0.101000
29,0.002000,0.102000
30,0.003000,0.101000
