Run,Time_ASM,Time_C
1,0.002000,0.019000
2,0.001000,0.020000
3,0.001000,0.020000
4,0.002000,0.019000
5,0.002000,0.020000
6,0.001000,0.020000
7,0.002000,0.019000
8,0.002000,0.020000
9,0.001000,0.020000
10,0.002000,0.020000
11,0.001000,0.020000
12,0.002000,0.019000
13,0.002000,0.019000
14,0.002000,0.020000
15,0.002000,0.020000
16,0.001000,0.020000
17,0.002000,0.019000
18,0.002000,0.019000
19,0.003000,0.019000
20,0.002000,0.020000
21,0.001000,0.020000
22,0.002000,0.019000
23,0.002000,0.020000
24,0.001000,0.020000
25,0.002000,0.020000
26,0.002000,0.020000
27,0.002000,0.020000
28,0.001000,0.020000
29,0.002000,0.020000
30,0.001000,0.020000
